094.png,22.73,0.945
095.png,22.21,0.947
096.png,23.33,0.948
097.png,23.83,0.944
098.png,22.05,0.939
099.png,21.28,0.941
100.png,21.73,0.928
101.png,23.02,0.947
102.png,20.84,0.925
103.png,22.07,0.926
104.png,21.16,0.925
105.png,20.75,0.906
106.png,21.03,0.931
107.png,20.93,0.925
108.png,21.21,0.929
109.png,21.39,0.926
110.png,22.92,0.952
111.png,21.60,0.922
112.png,22.95,0.942
113.png,23.23,0.949
114.png,22.16,0.950
115.png,20.94,0.905
116.png,20.11,0.896
117.png,20.43,0.901
118.png,20.40,0.909
119.png,23.37,0.933
120.png,20.45,0.914
121.png,22.95,0.924
122.png,22.49,0.905
123.png,21.38,0.921
124.png,23.14,0.932
125.png,23.32,0.930
126.png,23.69,0.931
127.png,21.63,0.922
128.png,22.37,0.922
129.png,21.81,0.932
130.png,21.60,0.933
131.png,21.65,0.927
132.png,22.55,0.935
133.png,22.12,0.931
134.png,23.39,0.928
135.png,22.66,0.929
136.png,22.82,0.933
137.png,21.21,0.916
138.png,22.13,0.940
139.png,21.72,0.927
140.png,21.17,0.921
141.png,22.71,0.905
142.png,21.61,0.899
143.png,22.22,0.911
144.png,20.20,0.918
145.png,22.49,0.937
146.png,21.70,0.908
147.png,22.24,0.892
148.png,20.50,0.906
149.png,19.93,0.903
150.png,21.40,0.915
151.png,20.53,0.929
152.png,20.37,0.906
153.png,19.01,0.903
154.png,20.84,0.912
155.png,21.16,0.927
156.png,22.39,0.931
157.png,20.78,0.919
158.png,22.29,0.939
159.png,21.55,0.932
160.png,18.95,0.916
161.png,20.68,0.932
162.png,22.79,0.939
163.png,20.92,0.919
164.png,22.43,0.925
165.png,21.84,0.930
166.png,20.39,0.897
167.png,22.79,0.933
168.png,23.25,0.945
169.png,23.28,0.933
170.png,24.74,0.950
171.png,21.17,0.923
172.png,20.83,0.942
173.png,21.04,0.936
174.png,21.07,0.935
175.png,20.95,0.928
176.png,20.45,0.908
177.png,19.89,0.918
178.png,20.78,0.929
179.png,21.36,0.949
180.png,21.41,0.937
181.png,21.48,0.917
182.png,22.14,0.934
183.png,20.42,0.893
184.png,20.25,0.890
185.png,23.15,0.956
186.png,22.62,0.940
187.png,22.01,0.925
188.png,21.65,0.917
189.png,22.23,0.915
190.png,22.49,0.917
191.png,27.70,0.979
192.png,21.87,0.950
193.png,21.52,0.942
194.png,20.87,0.950
195.png,20.07,0.932
196.png,21.15,0.940
197.png,20.89,0.938
198.png,21.41,0.939
199.png,20.77,0.937
200.png,21.82,0.948
201.png,21.27,0.933
202.png,21.54,0.915
203.png,21.62,0.929
204.png,23.10,0.930
205.png,23.11,0.929
206.png,23.36,0.933
207.png,23.07,0.919
208.png,20.42,0.926
209.png,20.49,0.928
210.png,20.68,0.934
211.png,20.90,0.947
212.png,21.30,0.952
213.png,20.09,0.937
214.png,20.14,0.922
215.png,21.43,0.911
216.png,23.36,0.934
217.png,22.76,0.921
218.png,23.22,0.932
219.png,21.56,0.931
220.png,21.87,0.923
221.png,22.63,0.943
222.png,25.09,0.935
223.png,21.39,0.917
224.png,22.80,0.934
225.png,22.53,0.927
226.png,22.15,0.934
227.png,21.57,0.926
228.png,21.78,0.923
229.png,22.33,0.938
230.png,21.40,0.947
231.png,21.46,0.940
232.png,22.02,0.943
233.png,23.54,0.941
234.png,22.51,0.939
235.png,22.69,0.934
236.png,22.75,0.948
237.png,22.88,0.939
238.png,20.54,0.900
239.png,20.34,0.895
240.png,21.22,0.934
241.png,21.50,0.936
242.png,22.22,0.933
243.png,21.94,0.923
244.png,21.82,0.930
245.png,21.65,0.936
246.png,21.03,0.933
247.png,21.24,0.935
248.png,22.26,0.935
249.png,22.05,0.933
250.png,20.78,0.871
251.png,22.87,0.941
252.png,23.07,0.937
253.png,22.43,0.909
254.png,23.12,0.932
255.png,23.80,0.934
256.png,22.66,0.921
257.png,23.13,0.931
258.png,22.38,0.937
259.png,22.22,0.933
260.png,22.27,0.896
261.png,21.95,0.935
262.png,23.03,0.932
263.png,22.57,0.936
264.png,22.77,0.952
265.png,20.92,0.924
266.png,20.90,0.927
267.png,21.89,0.911
268.png,20.65,0.927
269.png,22.79,0.954
270.png,19.96,0.911
271.png,20.20,0.916
272.png,20.94,0.926
