119.png,22.13,0.918
120.png,19.42,0.885
121.png,20.21,0.885
122.png,19.42,0.870
123.png,19.74,0.883
124.png,20.00,0.898
125.png,19.36,0.892
126.png,19.78,0.902
127.png,19.94,0.891
128.png,19.67,0.891
129.png,19.11,0.898
130.png,19.28,0.897
131.png,18.89,0.897
132.png,19.05,0.895
133.png,18.98,0.888
134.png,19.20,0.887
135.png,18.15,0.887
136.png,18.56,0.893
137.png,19.68,0.881
138.png,21.32,0.927
139.png,20.17,0.900
140.png,20.23,0.894
141.png,20.03,0.875
142.png,19.92,0.861
143.png,20.70,0.873
144.png,18.37,0.883
145.png,20.04,0.908
146.png,19.72,0.878
147.png,20.82,0.866
148.png,18.91,0.877
149.png,19.58,0.873
150.png,19.55,0.873
151.png,19.49,0.901
152.png,18.80,0.864
153.png,19.92,0.875
154.png,20.42,0.883
155.png,19.19,0.896
156.png,19.59,0.895
157.png,18.51,0.875
158.png,20.60,0.915
159.png,20.27,0.898
160.png,18.03,0.889
161.png,19.27,0.908
162.png,20.02,0.907
163.png,19.40,0.892
164.png,19.37,0.879
165.png,20.58,0.898
166.png,19.24,0.859
167.png,20.22,0.904
168.png,21.24,0.916
169.png,20.55,0.895
170.png,23.76,0.920
171.png,18.98,0.889
172.png,18.63,0.913
173.png,18.55,0.909
174.png,19.10,0.911
175.png,20.49,0.918
176.png,20.02,0.899
177.png,19.56,0.904
178.png,19.86,0.912
179.png,20.84,0.940
180.png,18.94,0.910
181.png,18.31,0.880
182.png,18.73,0.895
183.png,20.16,0.862
184.png,19.90,0.857
185.png,23.15,0.948
186.png,19.70,0.902
187.png,18.13,0.884
188.png,17.84,0.876
189.png,18.89,0.885
190.png,19.51,0.884
191.png,24.05,0.959
192.png,20.90,0.934
193.png,20.30,0.923
194.png,19.50,0.931
195.png,18.81,0.917
196.png,20.35,0.922
197.png,19.93,0.924
198.png,20.31,0.925
199.png,20.01,0.921
200.png,20.41,0.931
201.png,18.38,0.896
202.png,19.26,0.882
203.png,18.84,0.884
204.png,19.19,0.897
205.png,19.01,0.895
206.png,18.13,0.897
207.png,20.62,0.886
208.png,18.99,0.907
209.png,18.43,0.903
210.png,17.51,0.906
211.png,16.65,0.922
212.png,17.07,0.923
213.png,16.62,0.912
214.png,18.52,0.904
215.png,20.14,0.891
216.png,20.48,0.906
217.png,20.43,0.889
218.png,22.86,0.907
219.png,19.40,0.908
220.png,19.16,0.894
221.png,20.17,0.906
222.png,23.41,0.914
223.png,18.87,0.884
224.png,19.58,0.899
225.png,19.84,0.893
226.png,19.41,0.898
227.png,19.66,0.888
228.png,22.53,0.890
229.png,19.48,0.895
230.png,21.55,0.937
231.png,21.97,0.930
232.png,18.61,0.903
233.png,20.15,0.901
234.png,19.26,0.899
235.png,19.48,0.892
236.png,20.01,0.911
237.png,20.95,0.911
238.png,17.67,0.862
239.png,20.10,0.870
240.png,19.43,0.906
241.png,20.00,0.914
242.png,19.46,0.899
243.png,20.57,0.897
244.png,20.14,0.897
245.png,19.62,0.908
246.png,19.10,0.903
247.png,19.44,0.913
248.png,20.47,0.911
249.png,21.55,0.899
250.png,19.04,0.852
251.png,20.39,0.903
252.png,20.44,0.906
253.png,20.07,0.874
254.png,20.15,0.891
255.png,20.77,0.897
256.png,19.33,0.882
257.png,22.49,0.896
258.png,19.14,0.907
259.png,19.25,0.900
260.png,20.21,0.859
261.png,19.01,0.897
262.png,20.20,0.898
263.png,20.69,0.913
264.png,19.54,0.917
265.png,19.37,0.899
266.png,19.45,0.902
267.png,19.59,0.876
268.png,18.59,0.902
269.png,20.65,0.939
270.png,19.95,0.905
271.png,17.95,0.894
272.png,19.24,0.899
273.png,18.65,0.904
274.png,18.56,0.905
